question,consistent body,inconsistent body,consistent paraphrased,inconsistent paraphrased,answer
What is the number of orange plates that Mila has?,Hannah has 7 yellow packages. Hannah possesses 9 small suitcase for every yellow package. Mila has 4 fewer small suitcases than Hannah. Mila possesses 12 orange plate for every small suitcase.,Hannah has 7 yellow packages. Hannah possesses 9 small suitcase for every yellow package. Hannah has 4 more small suitcases than Mila. Mila possesses 12 orange plate for every small suitcase.,Hannah has 7 yellow packages. Hannah possesses 9 small suitcases for each yellow package. Mila has 4 fewer small suitcases than Hannah. Mila possesses 12 orange plates for each small suitcase. What is the number of orange plates that Mila has?,Hannah has 7 yellow packages. Hannah possesses 9 small suitcases for each yellow package. Hannah has 4 more small suitcases than Mila. Mila possesses 12 orange plates for each small suitcase. What is the number of orange plates that Mila has?,708
How many grams of butter does Natalie have?,Amelia has 2 grams of butter. Amelia bought 14 grams more butter. Natalie has 1/8 as much butter in grams as Amelia does.,Amelia has 2 grams of butter. Amelia bought 14 grams more butter. Amelia has 8 times as much butter in grams as Natalie does.,Amelia has 2 grams of butter. Amelia bought 14 more grams of butter. Natalie has 1/8 as much butter in grams as Amelia does. How many grams of butter does Natalie have?,Amelia has 2 grams of butter. Amelia bought 14 more grams of butter. Amelia has 8 times as much butter in grams as Natalie does. How many grams of butter does Natalie have?,2
How many washing machines does Layla have?,Victoria owns 10 bags. Layla has 11 times as many bags as Victoria. There are 6 washing machines in every Layla's bag.,Victoria owns 10 bags. Victoria has 1/11 the amount of bags as Layla. There are 6 washing machines in every Layla's bag.,Victoria owns 10 bags. Layla has 11 times as many bags as Victoria. There are 6 washing machines in each of Layla's bags. How many washing machines does Layla have?,Victoria owns 10 bags. Victoria has 1/11th the number of bags as Layla. There are 6 washing machines in each of Layla's bags. How many washing machines does Layla have?,660
How many pots does David have in their collection now?,There are 8 pots in Olivia's collection. David has 15 times as many pots as Olivia. David bought 16 pots.,There are 8 pots in Olivia's collection. Olivia has 1/15 the amount of pots as David. David bought 16 pots.,There are 8 pots in Olivia's collection. David has 15 times as many pots as Olivia. David bought 16 pots. How many pots does David have in his collection now?,There are 8 pots in Olivia's collection. Olivia has 1/15th the number of pots as David. David bought 16 pots. How many pots does David have in his collection now?,136
How many refrigerators does Christian have in their collection now?,Harper owns 11 refrigerators. Harper bought 9 refrigerators. Christian has 8 fewer refrigerators than Harper. Christian bought 4 refrigerators.,Harper owns 11 refrigerators. Harper bought 9 refrigerators. Harper has 8 more refrigerators than Christian. Christian bought 4 refrigerators.,Harper owns 11 refrigerators. Harper bought 9 refrigerators. Christian has 8 fewer refrigerators than Harper. Christian bought 4 refrigerators. How many refrigerators does Christian have in their collection now?,Harper owns 11 refrigerators. Harper bought 9 refrigerators. Harper has 8 more refrigerators than Christian. Christian bought 4 refrigerators. How many refrigerators does Christian have in their collection now?,16
How many grams of butter does Ryan have?,Harper has 15 grams of butter. Harper bought 13 grams more butter. Ryan has 1/7 as much butter in grams as Harper does.,Harper has 15 grams of butter. Harper bought 13 grams more butter. Harper has 7 times as much butter in grams as Ryan does.,Harper has 15 grams of butter. Harper bought 13 more grams of butter. Ryan has 1/7 as much butter in grams as Harper does. How many grams of butter does Ryan have?,Harper has 15 grams of butter. Harper bought 13 more grams of butter. Harper has 7 times as much butter in grams as Ryan does. How many grams of butter does Ryan have?,4
How many wallets does Emily have totaled?,There are 4 boxs in Elijah's collection. There are 5 baskets in every Elijah's box. Each of Elijah's basket holds 3 wallets. Emily has 10 fewer wallets than Elijah.,There are 4 boxs in Elijah's collection. There are 5 baskets in every Elijah's box. Each of Elijah's basket holds 3 wallets. Elijah has 10 more wallets than Emily.,There are 4 boxes in Elijah's collection. There are 5 baskets in each of Elijah's boxes. Each of Elijah's baskets holds 3 wallets. Emily has 10 fewer wallets than Elijah. How many wallets does Emily have in total?,There are 4 boxes in Elijah's collection. There are 5 baskets in each of Elijah's boxes. Each of Elijah's baskets holds 3 wallets. Elijah has 10 more wallets than Emily. How many wallets does Emily have in total?,50
What is the number of green baskets that Samuel has now?,William has 3 green baskets. William possesses 11 orange soap for every green basket. William bought 8 orange soaps.  Samuel has 10 times the amount of green baskets compared to the amount William has. Samuel bought 20 green baskets.,William has 3 green baskets. William possesses 11 orange soap for every green basket. William bought 8 orange soaps.  William has 1/10 the amount of green baskets compared to the amount Samuel has. Samuel bought 20 green baskets.,William has 3 green baskets. William possesses 11 orange soaps for each green basket. William bought 8 orange soaps. Samuel has 10 times the number of green baskets that William has. Samuel bought 20 green baskets. What is the number of green baskets that Samuel has now?,William has 3 green baskets. William possesses 11 orange soaps for each green basket. William bought 8 orange soaps. William has 1/10 the number of green baskets compared to the number Samuel has. Samuel bought 20 green baskets. What is the number of green baskets that Samuel has now?,50
What is the number of blue shampoos that Mason has?,Joseph has 2 blue shampoos. Joseph bought 11 blue shampoos. Joseph bought 19 blue shampoos.  Mason has 1/2 the amount of blue shampoos compared to the amount Joseph has.,Joseph has 2 blue shampoos. Joseph bought 11 blue shampoos. Joseph bought 19 blue shampoos.  Joseph has 2 times the amount of blue shampoos compared to the amount Mason has.,Joseph has 2 blue shampoos. Joseph bought 11 more blue shampoos. Joseph bought 19 additional blue shampoos. Mason has half the amount of blue shampoos compared to Joseph. What is the number of blue shampoos that Mason has?,Joseph has 2 blue shampoos. Joseph bought 11 more blue shampoos. Joseph bought 19 additional blue shampoos. Joseph has 2 times the number of blue shampoos compared to the number Mason has. What is the number of blue shampoos that Mason has?,16
How many microwaves does Christopher have in their collection now?,Emily owns 5 microwaves. Emily bought 15 more microwaves. Christopher has 1/20 the amount of microwaves as Emily. Christopher bought 7 microwaves.,Emily owns 5 microwaves. Emily bought 15 more microwaves. Emily has 20 times as many microwaves as Christopher. Christopher bought 7 microwaves.,Emily owns 5 microwaves. Emily bought 15 more microwaves. Christopher has 1/20th the number of microwaves as Emily. Christopher bought 7 microwaves. How many microwaves does Christopher have in his collection now?,Emily owns 5 microwaves. Emily bought 15 more microwaves. Emily has 20 times as many microwaves as Christopher. Christopher bought 7 microwaves. How many microwaves does Christopher have in his collection now?,8
How many knifes does Alexander have totaled?,Nathan owns 13 backpacks. Every backpack that Nathan has contains 6 plants. Nathan bought 5 plants. Alexander has 5 fewer backpacks than Nathan. Each of Alexander's backpack holds 6 packages. There are 17 knifes in every Alexander's package.,Nathan owns 13 backpacks. Every backpack that Nathan has contains 6 plants. Nathan bought 5 plants. Nathan has 5 more backpacks than Alexander. Each of Alexander's backpack holds 6 packages. There are 17 knifes in every Alexander's package.,Nathan owns 13 backpacks. Each backpack that Nathan has contains 6 plants. Nathan bought 5 plants. Alexander has 5 fewer backpacks than Nathan. Each of Alexander's backpacks holds 6 packages. There are 17 knives in every package that Alexander has. How many knives does Alexander have in total?,Nathan owns 13 backpacks. Each backpack that Nathan has contains 6 plants. Nathan bought 5 plants. Nathan has 5 more backpacks than Alexander. Each of Alexander's backpacks holds 6 packages. There are 17 knives in every package that Alexander has. How many knives does Alexander have in total?,816
How many lamps does Samuel have?,Avery has 19 suitcases. Samuel has 11 times as many suitcases as Avery. Each of Samuel's suitcase has 2 lamps.,Avery has 19 suitcases. Avery has 1/11 the amount of suitcases as Samuel. Each of Samuel's suitcase has 2 lamps.,Avery has 19 suitcases. Samuel has 11 times as many suitcases as Avery. Each of Samuel's suitcases has 2 lamps. How many lamps does Samuel have?,Avery has 19 suitcases. Avery has 1/11 of the amount of suitcases as Samuel. Each of Samuel's suitcases has 2 lamps. How many lamps does Samuel have?,418
What is the number of red plants that Liam has?,Nicholas has 20 orange baskets. Nicholas possesses 4 small umbrella for every orange basket. Liam has 17 fewer orange baskets than Nicholas. Liam bought 19 orange baskets. Liam possesses 13 red plant for every orange basket.,Nicholas has 20 orange baskets. Nicholas possesses 4 small umbrella for every orange basket. Nicholas has 17 more orange baskets than Liam. Liam bought 19 orange baskets. Liam possesses 13 red plant for every orange basket.,Nicholas has 20 orange baskets. Nicholas possesses 4 small umbrellas for every orange basket. Liam has 17 fewer orange baskets than Nicholas. Liam bought 19 orange baskets. Liam possesses 13 red plants for every orange basket. What is the number of red plants that Liam has?,Nicholas has 20 orange baskets. Nicholas possesses 4 small umbrellas for every orange basket. Nicholas has 17 more orange baskets than Liam. Liam bought 19 orange baskets. Liam possesses 13 red plants for every orange basket. What is the number of red plants that Liam has?,286
How many computers does Evelyn have in all?,Emily has 5 bags. Evelyn has 2 fewer bags than Emily. Each of Evelyn's bag holds 11 backpacks. Every backpack that Evelyn has contains 3 computers.,Emily has 5 bags. Emily has 2 more bags than Evelyn. Each of Evelyn's bag holds 11 backpacks. Every backpack that Evelyn has contains 3 computers.,Emily has 5 bags. Evelyn has 2 fewer bags than Emily. Each of Evelyn's bags holds 11 backpacks. Every backpack that Evelyn has contains 3 computers. How many computers does Evelyn have in total?,Emily has 5 bags. Emily has 2 more bags than Evelyn. Each of Evelyn's bags holds 11 backpacks. Every backpack that Evelyn has contains 3 computers. How many computers does Evelyn have in total?,99
How many kilowatt-hours of emergency energy reserve does Elijah have?,Evelyn has 3 kilowatt-hours of emergency energy reserve. Elijah has 15 kilowatt-hours of emergency energy reserve more than Evelyn.,Evelyn has 3 kilowatt-hours of emergency energy reserve. Evelyn has 15 kilowatt-hours of emergency energy reserve less than Elijah.,Evelyn has 3 kilowatt-hours of emergency energy reserve. Elijah has 15 kilowatt-hours more emergency energy reserve than Evelyn. How many kilowatt-hours of emergency energy reserve does Elijah have?,Evelyn has 3 kilowatt-hours of emergency energy reserve. Evelyn has 15 kilowatt-hours less of emergency energy reserve than Elijah. How many kilowatt-hours of emergency energy reserve does Elijah have?,18
How many bookshelfs does Layla have totaled?,Christian has 9 packages. Christian bought 14 packages. Christian bought 12 packages. Layla has 4 times as many packages as Christian. Each of Layla's package holds 2 boxs. Every box that Layla has contains 2 bookshelfs.,Christian has 9 packages. Christian bought 14 packages. Christian bought 12 packages. Christian has 1/4 the amount of packages as Layla. Each of Layla's package holds 2 boxs. Every box that Layla has contains 2 bookshelfs.,Christian has 9 packages. Christian bought 14 packages. Christian bought 12 packages. Layla has 4 times as many packages as Christian. Each of Layla's packages holds 2 boxes. Every box that Layla has contains 2 bookshelves. How many bookshelves does Layla have in total?,Christian has 9 packages. Christian bought 14 packages. Christian bought 12 packages. Christian has 1/4 the number of packages as Layla. Each of Layla's packages holds 2 boxes. Every box that Layla has contains 2 bookshelves. How many bookshelves does Layla have in total?,560
How many lamps does Christian have totaled?,Harper has 2 lamps. Harper bought 8 more lamps. Christian has 4 more lamps than Harper.,Harper has 2 lamps. Harper bought 8 more lamps. Harper has 4 fewer lamps than Christian.,Harper has 2 lamps. Harper bought 8 more lamps. Christian has 4 more lamps than Harper. How many lamps does Christian have in total?,Harper has 2 lamps. Harper bought 8 more lamps. Harper has 4 fewer lamps than Christian. How many lamps does Christian have in total?,14
How many baskets does Matthew have in their collection?,Christian owns 9 baskets. Christian possesses 13 acres of farmland per basket. Matthew has 1/3 the amount of baskets as Christian.,Christian owns 9 baskets. Christian possesses 13 acres of farmland per basket. Christian has 3 times as many baskets as Matthew.,Christian owns 9 baskets. Christian possesses 13 acres of farmland per basket. Matthew has 1/3 of the number of baskets as Christian. How many baskets does Matthew have in his collection?,Christian owns 9 baskets. Christian possesses 13 acres of farmland per basket. Christian has 3 times as many baskets as Matthew. How many baskets does Matthew have in his collection?,3
How many shampoos does Ryan have in all now?,There are 13 boxs in Nathan's collection. Each of Nathan's box has 16 shampoos. Nathan bought 15 more shampoos. Ryan has 3 fewer shampoos than Nathan. Ryan bought 16 shampoos.,There are 13 boxs in Nathan's collection. Each of Nathan's box has 16 shampoos. Nathan bought 15 more shampoos. Nathan has 3 more shampoos than Ryan. Ryan bought 16 shampoos.,There are 13 boxes in Nathan's collection. Each of Nathan's boxes has 16 shampoos. Nathan bought 15 more shampoos. Ryan has 3 fewer shampoos than Nathan. Ryan bought 16 shampoos. How many shampoos does Ryan have in all now?,There are 13 boxes in Nathan's collection. Each of Nathan's boxes has 16 shampoos. Nathan bought 15 more shampoos. Nathan has 3 more shampoos than Ryan. Ryan bought 16 shampoos. How many shampoos does Ryan have in all now?,236
What is the number of large computers that Liam has?,Scarlett has 18 blue baskets. Scarlett bought 12 blue baskets.  Liam has 1/6 the amount of blue baskets compared to the amount Scarlett has. Liam bought 13 blue baskets. Liam possesses 6 large computer for every blue basket.,Scarlett has 18 blue baskets. Scarlett bought 12 blue baskets.  Scarlett has 6 times the amount of blue baskets compared to the amount Liam has. Liam bought 13 blue baskets. Liam possesses 6 large computer for every blue basket.,Scarlett has 18 blue baskets. Scarlett bought 12 more blue baskets. Liam has 1/6 the number of blue baskets compared to Scarlett. Liam bought 13 blue baskets. Liam possesses 6 large computers for every blue basket. What is the number of large computers that Liam has?,Scarlett has 18 blue baskets. Scarlett bought 12 more blue baskets. Scarlett has 6 times the number of blue baskets compared to Liam. Liam bought 13 blue baskets. Liam possesses 6 large computers for every blue basket. What is the number of large computers that Liam has?,108
What is the number of orange toasters that Samuel has?,Ella has 9 orange toasters. Samuel has 8 fewer orange toasters than Ella.,Ella has 9 orange toasters. Ella has 8 more orange toasters than Samuel.,Ella has 9 orange toasters. Samuel has 8 fewer orange toasters than Ella. What is the number of orange toasters that Samuel has?,Ella has 9 orange toasters. Ella has 8 more orange toasters than Samuel. What is the number of orange toasters that Samuel has?,1
How many umbrellas does Emily have totaled now?,David has 12 umbrellas. Emily has 15 times as many umbrellas as David. Emily bought 13 umbrellas.,David has 12 umbrellas. David has 1/15 the amount of umbrellas as Emily. Emily bought 13 umbrellas.,David has 12 umbrellas. Emily has 15 times as many umbrellas as David. Emily bought 13 umbrellas. How many umbrellas does Emily have now in total?,David has 12 umbrellas. David has 1/15th the number of umbrellas as Emily. Emily bought 13 umbrellas. How many umbrellas does Emily have now in total?,193
How many vases does Harper have in total?,Joseph has 9 baskets. Joseph bought 14 baskets. Harper has 9 more baskets than Joseph. There are 2 packages in every Harper's basket. Each of Harper's package has 13 vases.,Joseph has 9 baskets. Joseph bought 14 baskets. Joseph has 9 fewer baskets than Harper. There are 2 packages in every Harper's basket. Each of Harper's package has 13 vases.,Joseph has 9 baskets. Joseph bought 14 more baskets. Harper has 9 more baskets than Joseph. There are 2 packages in every one of Harper's baskets. Each of Harper's packages has 13 vases. How many vases does Harper have in total?,Joseph has 9 baskets. Joseph bought 14 more baskets. Joseph has 9 fewer baskets than Harper. There are 2 packages in every one of Harper's baskets. Each of Harper's packages has 13 vases. How many vases does Harper have in total?,832
How many keyboards does Ella have in their collection?,Lily has 10 keyboards. Lily bought 4 more keyboards. Lily bought 14 more keyboards. Ella has 20 fewer keyboards than Lily.,Lily has 10 keyboards. Lily bought 4 more keyboards. Lily bought 14 more keyboards. Lily has 20 more keyboards than Ella.,Lily has 10 keyboards. Lily bought 4 additional keyboards. Lily bought 14 more keyboards. Ella has 20 fewer keyboards than Lily. How many keyboards does Ella have in her collection?,Lily has 10 keyboards. Lily bought 4 additional keyboards. Lily bought 14 more keyboards. Lily has 20 keyboards more than Ella. How many keyboards does Ella have in her collection?,8
How many pots does Benjamin have in total?,Emily has 11 pots. Emily bought 14 pots. Emily bought 9 pots. Benjamin has 18 times as many pots as Emily.,Emily has 11 pots. Emily bought 14 pots. Emily bought 9 pots. Emily has 1/18 the amount of pots as Benjamin.,Emily has 11 pots. Emily bought 14 more pots. Emily bought 9 more pots. Benjamin has 18 times as many pots as Emily. How many pots does Benjamin have in total?,Emily has 11 pots. Emily bought 14 more pots. Emily bought 9 more pots. Emily has 1/18th the amount of pots as Benjamin. How many pots does Benjamin have in total?,612
How many grams of butter does Henry have?,Amelia has 19 backpacks. Amelia bought 2 backpacks. Henry has 7 more backpacks than Amelia. Henry bought 14 more backpacks. Henry possesses 2 grams of butter per backpack.,Amelia has 19 backpacks. Amelia bought 2 backpacks. Amelia has 7 fewer backpacks than Henry. Henry bought 14 more backpacks. Henry possesses 2 grams of butter per backpack.,Amelia has 19 backpacks. Amelia bought 2 backpacks. Henry has 7 more backpacks than Amelia. Henry bought 14 more backpacks. Henry possesses 2 grams of butter per backpack. How many grams of butter does Henry have?,Amelia has 19 backpacks. Amelia bought 2 backpacks. Amelia has 7 fewer backpacks than Henry. Henry bought 14 more backpacks. Henry possesses 2 grams of butter per backpack. How many grams of butter does Henry have?,84
What is the number of small keyboards that James has?,Samuel has 4 green packages.  James has 6 times the amount of green packages compared to the amount Samuel has. James possesses 10 small keyboard for every green package.,Samuel has 4 green packages.  Samuel has 1/6 the amount of green packages compared to the amount James has. James possesses 10 small keyboard for every green package.,Samuel has 4 green packages. James has 6 times the number of green packages that Samuel has. James possesses 10 small keyboards for every green package. What is the number of small keyboards that James has?,Samuel has 4 green packages. Samuel has 1/6 the number of green packages compared to the number James has. James possesses 10 small keyboards for every green package. What is the number of small keyboards that James has?,240
How many grams of butter does Michael have now?,Abigail owns 15 baskets. Abigail possesses 6 kilograms of gold per basket. Michael has 7 fewer baskets than Abigail. Michael possesses 8 grams of butter per basket. Michael bought 18 grams more butter.,Abigail owns 15 baskets. Abigail possesses 6 kilograms of gold per basket. Abigail has 7 more baskets than Michael. Michael possesses 8 grams of butter per basket. Michael bought 18 grams more butter.,Abigail owns 15 baskets. Abigail possesses 6 kilograms of gold per basket. Michael has 7 fewer baskets than Abigail. Michael possesses 8 grams of butter per basket. Michael bought 18 grams more butter. How many grams of butter does Michael have now?,Abigail owns 15 baskets. Abigail possesses 6 kilograms of gold per basket. Abigail has 7 more baskets than Michael. Michael possesses 8 grams of butter per basket. Michael bought 18 grams more butter. How many grams of butter does Michael have now?,82
How many speakers does Samuel have totaled?,There are 11 baskets in Christopher's collection. Christopher bought 7 more baskets. Samuel has 14 fewer baskets than Christopher. Every basket that Samuel has contains 10 speakers.,There are 11 baskets in Christopher's collection. Christopher bought 7 more baskets. Christopher has 14 more baskets than Samuel. Every basket that Samuel has contains 10 speakers.,There are 11 baskets in Christopher's collection. Christopher bought 7 additional baskets. Samuel has 14 fewer baskets than Christopher. Each basket that Samuel has contains 10 speakers. How many speakers does Samuel have in total?,There are 11 baskets in Christopher's collection. Christopher bought 7 additional baskets. Christopher has 14 more baskets than Samuel. Each basket that Samuel has contains 10 speakers. How many speakers does Samuel have in total?,40
How many soaps does Grace have now?,Ava has 4 soaps. Ava bought 6 soaps. Ava bought 13 soaps. Grace has 15 times as many soaps as Ava. Grace bought 12 more soaps. Grace bought 3 more soaps.,Ava has 4 soaps. Ava bought 6 soaps. Ava bought 13 soaps. Ava has 1/15 the amount of soaps as Grace. Grace bought 12 more soaps. Grace bought 3 more soaps.,Ava has 4 soaps. Ava bought 6 more soaps. Ava bought 13 additional soaps. Grace has 15 times as many soaps as Ava. Grace bought 12 more soaps. Grace bought 3 additional soaps. How many soaps does Grace have now?,Ava has 4 soaps. Ava bought 6 more soaps. Ava bought 13 additional soaps. Ava has 1/15 the amount of soap as Grace. Grace bought 12 more soaps. Grace bought 3 additional soaps. How many soaps does Grace have now?,360
What is the number of orange bottles that James has?,Michael has 14 large bags. Michael possesses 16 blue basket for every large bag. James has 7 more blue baskets than Michael. James possesses 2 orange bottle for every blue basket.,Michael has 14 large bags. Michael possesses 16 blue basket for every large bag. Michael has 7 fewer blue baskets than James. James possesses 2 orange bottle for every blue basket.,Michael has 14 large bags. Michael possesses 16 blue baskets for every large bag. James has 7 more blue baskets than Michael. James possesses 2 orange bottles for every blue basket. What is the number of orange bottles that James has?,Michael has 14 large bags. Michael possesses 16 blue baskets for every large bag. Michael has 7 fewer blue baskets than James. James possesses 2 orange bottles for every blue basket. What is the number of orange bottles that James has?,462
How many acres of farmland does Andrew have?,Emma has 3 acres of farmland. Andrew has 12 times as much farmland in acres as Emma does.,Emma has 3 acres of farmland. Emma has 1/12 as much farmland in acres as Andrew does.,Emma has 3 acres of farmland. Andrew has 12 times as much farmland in acres as Emma does. How many acres of farmland does Andrew have?,Emma has 3 acres of farmland. Emma has 1/12 as much farmland in acres as Andrew does. How many acres of farmland does Andrew have?,36
What is the number of orange clocks that Mia has now?,Christopher has 2 orange clocks. Christopher bought 18 orange clocks. Christopher bought 12 orange clocks. Mia has 13 fewer orange clocks than Christopher. Mia bought 17 orange clocks.,Christopher has 2 orange clocks. Christopher bought 18 orange clocks. Christopher bought 12 orange clocks. Christopher has 13 more orange clocks than Mia. Mia bought 17 orange clocks.,Christopher has 2 orange clocks. Christopher bought 18 more orange clocks. Christopher bought 12 more orange clocks. Mia has 13 fewer orange clocks than Christopher. Mia bought 17 more orange clocks. What is the number of orange clocks that Mia has now?,Christopher has 2 orange clocks. Christopher bought 18 more orange clocks. Christopher bought 12 more orange clocks. Christopher has 13 more orange clocks than Mia. Mia bought 17 more orange clocks. What is the number of orange clocks that Mia has now?,36
What is the number of red boxs that Hannah has now?,William has 15 red boxs. William possesses 4 green fork for every red box. William bought 15 green forks. Hannah has 9 more red boxs than William. Hannah bought 20 red boxs. Hannah bought 7 red boxs.,William has 15 red boxs. William possesses 4 green fork for every red box. William bought 15 green forks. William has 9 fewer red boxs than Hannah. Hannah bought 20 red boxs. Hannah bought 7 red boxs.,William has 15 red boxes. William possesses 4 green forks for every red box. William bought 15 green forks. Hannah has 9 more red boxes than William. Hannah bought 20 red boxes. Hannah bought 7 red boxes. What is the number of red boxes that Hannah has now?,William has 15 red boxes. William possesses 4 green forks for every red box. William bought 15 green forks. William has 9 fewer red boxes than Hannah. Hannah bought 20 red boxes. Hannah bought 7 red boxes. What is the number of red boxes that Hannah has now?,51
How many microwaves does Ryan have in all?,Amelia has 7 backpacks. Each of Amelia's backpack holds 6 baskets. Amelia bought 4 baskets. Ryan has 17 more baskets than Amelia. Every basket that Ryan has contains 15 microwaves.,Amelia has 7 backpacks. Each of Amelia's backpack holds 6 baskets. Amelia bought 4 baskets. Amelia has 17 fewer baskets than Ryan. Every basket that Ryan has contains 15 microwaves.,Amelia has 7 backpacks. Each of Amelia's backpacks holds 6 baskets. Amelia bought 4 baskets. Ryan has 17 more baskets than Amelia. Every basket that Ryan has contains 15 microwaves. How many microwaves does Ryan have in total?,Amelia has 7 backpacks. Each of Amelia's backpacks holds 6 baskets. Amelia bought 4 baskets. Amelia has 17 fewer baskets than Ryan. Every basket that Ryan has contains 15 microwaves. How many microwaves does Ryan have in total?,945
How many computers does Mila have?,Abigail owns 13 boxs. Mila has 1/13 the amount of boxs as Abigail. Mila bought 10 more boxs. Each of Mila's box has 12 computers.,Abigail owns 13 boxs. Abigail has 13 times as many boxs as Mila. Mila bought 10 more boxs. Each of Mila's box has 12 computers.,Abigail owns 13 boxes. Mila has 1/13 of the amount of boxes as Abigail. Mila bought 10 more boxes. Each of Mila's boxes has 12 computers. How many computers does Mila have?,Abigail owns 13 boxes. Abigail has 13 times as many boxes as Mila. Mila bought 10 more boxes. Each of Mila's boxes has 12 computers. How many computers does Mila have?,132
How many acres of farmland does Nathan have?,Hannah owns 13 suitcases. Every suitcase that Hannah has contains 13 backpacks. Nathan has 2 times as many backpacks as Hannah. Nathan possesses 2 acres of farmland per backpack.,Hannah owns 13 suitcases. Every suitcase that Hannah has contains 13 backpacks. Hannah has 1/2 the amount of backpacks as Nathan. Nathan possesses 2 acres of farmland per backpack.,Hannah owns 13 suitcases. Each suitcase that Hannah has contains 13 backpacks. Nathan has twice as many backpacks as Hannah. Nathan possesses 2 acres of farmland per backpack. How many acres of farmland does Nathan have?,Hannah owns 13 suitcases. Each suitcase that Hannah has contains 13 backpacks. Hannah has half the number of backpacks as Nathan. Nathan possesses 2 acres of farmland per backpack. How many acres of farmland does Nathan have?,676
How many bookshelfs does Samuel have in their collection now?,Liam owns 6 suitcases. Liam bought 10 more suitcases. Liam bought 18 suitcases. Samuel has 6 fewer suitcases than Liam. Every suitcase that Samuel has contains 19 bookshelfs. Samuel bought 17 more bookshelfs.,Liam owns 6 suitcases. Liam bought 10 more suitcases. Liam bought 18 suitcases. Liam has 6 more suitcases than Samuel. Every suitcase that Samuel has contains 19 bookshelfs. Samuel bought 17 more bookshelfs.,Liam owns 6 suitcases. Liam bought 10 more suitcases. Liam bought 18 suitcases. Samuel has 6 fewer suitcases than Liam. Every suitcase that Samuel has contains 19 bookshelves. Samuel bought 17 more bookshelves. How many bookshelves does Samuel have in their collection now?,Liam owns 6 suitcases. Liam bought 10 more suitcases. Liam bought 18 suitcases. Liam has 6 more suitcases than Samuel. Every suitcase that Samuel has contains 19 bookshelves. Samuel bought 17 more bookshelves. How many bookshelves does Samuel have in their collection now?,549
What is the number of small blenders that Mila has?,Logan has 15 red boxs.  Mila has 1/3 the amount of red boxs compared to the amount Logan has. Mila possesses 5 small blender for every red box.,Logan has 15 red boxs.  Logan has 3 times the amount of red boxs compared to the amount Mila has. Mila possesses 5 small blender for every red box.,Logan has 15 red boxes. Mila has 1/3 the number of red boxes compared to Logan. Mila possesses 5 small blenders for every red box. What is the number of small blenders that Mila has?,Logan has 15 red boxes. Logan has 3 times the number of red boxes compared to the number Mila has. Mila possesses 5 small blenders for every red box. What is the number of small blenders that Mila has?,25
How many acres of farmland does Lucy have?,Nicholas has 14 acres of farmland. Lucy has 9 acres of farmland less than Nicholas.,Nicholas has 14 acres of farmland. Nicholas has 9 acres of farmland more than Lucy.,Nicholas has 14 acres of farmland. Lucy has 9 acres of farmland fewer than Nicholas. How many acres of farmland does Lucy have?,Nicholas has 14 acres of farmland. Nicholas has 9 acres more farmland than Lucy. How many acres of farmland does Lucy have?,5
What is the number of blue shampoos that Abigail has now?,Isabella has 6 large packages. Isabella possesses 6 blue shampoo for every large package. Isabella bought 6 blue shampoos.  Abigail has 1/3 the amount of blue shampoos compared to the amount Isabella has. Abigail bought 6 blue shampoos.,Isabella has 6 large packages. Isabella possesses 6 blue shampoo for every large package. Isabella bought 6 blue shampoos.  Isabella has 3 times the amount of blue shampoos compared to the amount Abigail has. Abigail bought 6 blue shampoos.,Isabella has 6 large packages. Isabella possesses 6 blue shampoos for each large package. Isabella bought 6 blue shampoos. Abigail has 1/3 of the amount of blue shampoos that Isabella has. Abigail bought 6 blue shampoos. What is the number of blue shampoos that Abigail has now?,Isabella has 6 large packages. Isabella possesses 6 blue shampoos for each large package. Isabella bought 6 blue shampoos. Isabella has 3 times the amount of blue shampoos compared to the amount Abigail has. Abigail bought 6 blue shampoos. What is the number of blue shampoos that Abigail has now?,20
What is the number of blue juicers that Sofia has?,Benjamin has 16 blue juicers. Sofia has 5 more blue juicers than Benjamin.,Benjamin has 16 blue juicers. Benjamin has 5 fewer blue juicers than Sofia.,Benjamin has 16 blue juicers. Sofia has 5 more blue juicers than Benjamin. What is the number of blue juicers that Sofia has?,Benjamin has 16 blue juicers. Benjamin has 5 fewer blue juicers than Sofia. What is the number of blue juicers that Sofia has?,21
What is the number of large backpacks that Lily has?,Victoria has 8 large backpacks. Victoria possesses 10 small television for every large backpack.  Lily has 1/2 the amount of large backpacks compared to the amount Victoria has.,Victoria has 8 large backpacks. Victoria possesses 10 small television for every large backpack.  Victoria has 2 times the amount of large backpacks compared to the amount Lily has.,Victoria has 8 large backpacks. Victoria possesses 10 small televisions for every large backpack. Lily has half the number of large backpacks compared to the number Victoria has. What is the number of large backpacks that Lily has?,Victoria has 8 large backpacks. Victoria possesses 10 small televisions for every large backpack. Victoria has 2 times the number of large backpacks compared to the number Lily has. What is the number of large backpacks that Lily has?,4
