question comparison,question transition,body comparison,body transition,paraphrase comparison,paraphrase transition,answer
How many gigabytes of training data does David have?,How many gigabytes of training data does Samuel have now?,Samuel has 19 gigabytes of training data. Matthew has 16 gigabytes of training data more than Samuel. Hannah has 7 gigabytes of training data more than Matthew. Hannah has 17 gigabytes of training data more than David.,Samuel has 19 gigabytes of training data. Matthew gave Samuel 16 gigabytes of training data. Hannah gave Samuel 7 gigabytes of training data. Samuel gave David 17 gigabytes of training data.,Samuel has 19 gigabytes of training data. Matthew has 16 gigabytes more training data than Samuel. Hannah has 7 gigabytes more training data than Matthew. Hannah has 17 gigabytes more training data than David. How many gigabytes of training data does David have?,Samuel has 19 gigabytes of training data. Matthew gave Samuel 16 gigabytes of training data. Hannah gave Samuel 7 gigabytes of training data. Samuel gave David 17 gigabytes of training data. How many gigabytes of training data does Samuel have now?,25
How many refrigerators does Mia have totaled?,How many refrigerators does Emma have totaled now?,Emma has 7 refrigerators. Mia has 9 more refrigerators than Emma.,Emma has 7 refrigerators. Mia gave Emma 9 refrigerators.,Emma has 7 refrigerators. Mia has 9 refrigerators more than Emma. How many refrigerators does Mia have in total?,Emma has 7 refrigerators. Mia gave Emma 9 refrigerators. How many refrigerators does Emma have now in total?,16
What is the number of blue computers that Evelyn has?,What is the number of blue computers that Hannah has now?,Hannah has 19 blue computers. Charlotte has 14 more blue computers than Hannah. Charlotte has 17 fewer blue computers than James. James has 11 more blue computers than Emma. Evelyn has 8 more blue computers than Emma.,Hannah has 19 blue computers. Charlotte gave Hannah 14 blue computers. James gave Hannah 17 blue computers. Hannah gave Emma 11 blue computers. Evelyn gave Hannah 8 blue computers.,Hannah has 19 blue computers. Charlotte has 14 more blue computers than Hannah. Charlotte has 17 fewer blue computers than James. James has 11 more blue computers than Emma. Evelyn has 8 more blue computers than Emma. What is the number of blue computers that Evelyn has?,Hannah has 19 blue computers. Charlotte gave Hannah 14 blue computers. James gave Hannah 17 blue computers. Hannah gave Emma 11 blue computers. Evelyn gave Hannah 8 blue computers. What is the number of blue computers that Hannah has now?,47
How many dollars of bitcoin does Michael have?,How many dollars of bitcoin does Samuel have now?,Samuel has 18 dollars of bitcoin. Michael has 11 dollars of bitcoin less than Samuel.,Samuel has 18 dollars of bitcoin. Samuel gave Michael 11 dollars of bitcoin.,Samuel has 18 dollars of bitcoin. Michael has 11 dollars less of bitcoin than Samuel. How many dollars of bitcoin does Michael have?,Samuel has 18 dollars of bitcoin. Samuel gave Michael 11 dollars of bitcoin. How many dollars of bitcoin does Samuel have now?,7
How many kilowatt-hours of emergency energy reserve does Lucy have?,How many kilowatt-hours of emergency energy reserve does Logan have now?,Logan has 6 kilowatt-hours of emergency energy reserve. Logan has 5 kilowatt-hours of emergency energy reserve more than Christopher. Lucy has 9 kilowatt-hours of emergency energy reserve more than Christopher.,Logan has 6 kilowatt-hours of emergency energy reserve. Logan gave Christopher 5 kilowatt-hours of emergency energy reserve. Lucy gave Logan 9 kilowatt-hours of emergency energy reserve.,Logan has 6 kilowatt-hours of emergency energy reserve. Logan has 5 kilowatt-hours more emergency energy reserve than Christopher. Lucy has 9 kilowatt-hours more emergency energy reserve than Christopher. How many kilowatt-hours of emergency energy reserve does Lucy have?,Logan has 6 kilowatt-hours of emergency energy reserve. Logan gave Christopher 5 kilowatt-hours of emergency energy reserve. Lucy gave Logan 9 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Logan have now?,10
How many towels does Natalie have?,How many towels does John have in total now?,John has 20 towels. John has 18 more towels than James. Andrew has 7 more towels than James. Natalie has 14 more towels than Andrew.,John has 20 towels. John gave 18 towels to James. Andrew gave 7 towels to John. Natalie gave 14 towels to John.,John has 20 towels. John has 18 more towels than James. Andrew has 7 more towels than James. Natalie has 14 more towels than Andrew. How many towels does Natalie have?,John has 20 towels. John gave 18 towels to James. Andrew gave 7 towels to John. Natalie gave 14 towels to John. How many towels does John have in total now?,23
How many watchs does Mason have in their collection?,How many watchs does Sophia have in all now?,Sophia has 2 watchs. Charlotte has 17 more watchs than Sophia. Benjamin has 19 fewer watchs than Charlotte. James has 9 more watchs than Benjamin. Mason has 2 more watchs than James.,Sophia has 2 watchs. Charlotte gave 17 watchs to Sophia. Sophia gave 19 watchs to Benjamin. James gave Sophia 9 watchs. Mason gave Sophia 2 watchs.,Sophia has 2 watches. Charlotte has 17 more watches than Sophia. Benjamin has 19 fewer watches than Charlotte. James has 9 more watches than Benjamin. Mason has 2 more watches than James. How many watches does Mason have in their collection?,Sophia has 2 watches. Charlotte gave 17 watches to Sophia. Sophia gave 19 watches to Benjamin. James gave Sophia 9 watches. Mason gave Sophia 2 watches. How many watches does Sophia have in total now?,11
What is the number of blue watchs that Chloe has?,What is the number of blue watchs that Lily has now?,Lily has 19 blue watchs. Lily has 4 fewer blue watchs than William. William has 11 fewer blue watchs than John. John has 6 more blue watchs than Elijah. Elijah has 9 more blue watchs than Chloe.,Lily has 19 blue watchs. William gave Lily 4 blue watchs. John gave Lily 11 blue watchs. Lily gave Elijah 6 blue watchs. Lily gave Chloe 9 blue watchs.,Lily has 19 blue watches. Lily has 4 fewer blue watches than William. William has 11 fewer blue watches than John. John has 6 more blue watches than Elijah. Elijah has 9 more blue watches than Chloe. What is the number of blue watches that Chloe has?,Lily has 19 blue watches. William gave Lily 4 blue watches. John gave Lily 11 blue watches. Lily gave Elijah 6 blue watches. Lily gave Chloe 9 blue watches. What is the number of blue watches that Lily has now?,19
How many kilograms of gold does Jonathan have?,How many kilograms of gold does Christopher have now?,Christopher has 11 kilograms of gold. Christopher has 4 kilograms of gold more than Jonathan.,Christopher has 11 kilograms of gold. Christopher gave Jonathan 4 kilograms of gold.,Christopher has 11 kilograms of gold. Christopher has 4 kilograms more gold than Jonathan. How many kilograms of gold does Jonathan have?,Christopher has 11 kilograms of gold. Christopher gave Jonathan 4 kilograms of gold. How many kilograms of gold does Christopher have now?,7
How many dollars of bitcoin does Lucy have?,How many dollars of bitcoin does Chloe have now?,Chloe has 13 dollars of bitcoin. Chloe has 9 dollars of bitcoin less than Lucy.,Chloe has 13 dollars of bitcoin. Lucy gave Chloe 9 dollars of bitcoin.,Chloe has 13 dollars of bitcoin. Chloe has 9 dollars less of bitcoin than Lucy. How many dollars of bitcoin does Lucy have?,Chloe has 13 dollars of bitcoin. Lucy gave Chloe 9 dollars of bitcoin. How many dollars of bitcoin does Chloe have now?,22
What is the number of yellow refrigerators that Andrew has?,What is the number of yellow refrigerators that Nathan has now?,Nathan has 16 yellow refrigerators. Nathan has 9 fewer yellow refrigerators than Andrew.,Nathan has 16 yellow refrigerators. Andrew gave Nathan 9 yellow refrigerators.,Nathan has 16 yellow refrigerators. Nathan has 9 fewer yellow refrigerators than Andrew. What is the number of yellow refrigerators that Andrew has?,Nathan has 16 yellow refrigerators. Andrew gave Nathan 9 yellow refrigerators. What is the total number of yellow refrigerators that Nathan has now?,25
How many keyboards does Evelyn have in their collection?,How many keyboards does Nicholas have in total now?,Nicholas has 19 keyboards. Nicholas has 3 fewer keyboards than Benjamin. Benjamin has 16 more keyboards than Lily. Mila has 3 more keyboards than Lily. Evelyn has 16 more keyboards than Mila.,Nicholas has 19 keyboards. Benjamin gave Nicholas 3 keyboards. Nicholas gave Lily 16 keyboards. Mila gave 3 keyboards to Nicholas. Evelyn gave 16 keyboards to Nicholas.,Nicholas has 19 keyboards. Nicholas has 3 fewer keyboards than Benjamin. Benjamin has 16 more keyboards than Lily. Mila has 3 more keyboards than Lily. Evelyn has 16 more keyboards than Mila. How many keyboards does Evelyn have in her collection?,Nicholas has 19 keyboards. Benjamin gave Nicholas 3 keyboards. Nicholas gave Lily 16 keyboards. Mila gave 3 keyboards to Nicholas. Evelyn gave 16 keyboards to Nicholas. How many keyboards does Nicholas have in total now?,25
What is the number of red mugs that Sophia has?,What is the number of red mugs that Andrew has now?,Andrew has 20 red mugs. Daniel has 14 more red mugs than Andrew. Sophia has 10 more red mugs than Daniel.,Andrew has 20 red mugs. Daniel gave Andrew 14 red mugs. Sophia gave Andrew 10 red mugs.,Andrew has 20 red mugs. Daniel has 14 red mugs more than Andrew. Sophia has 10 red mugs more than Daniel. What is the number of red mugs that Sophia has?,Andrew has 20 red mugs. Daniel gave Andrew 14 red mugs. Sophia gave Andrew 10 red mugs. What is the total number of red mugs that Andrew has now?,44
How many forks does Elijah have in all?,How many forks does Mason have now?,Mason has 10 forks. Mason has 11 fewer forks than Scarlett. Scarlett has 5 more forks than Michael. Charlotte has 3 fewer forks than Michael. Elijah has 9 more forks than Charlotte.,Mason has 10 forks. Scarlett gave 11 forks to Mason. Mason gave Michael 5 forks. Mason gave Charlotte 3 forks. Elijah gave 9 forks to Mason.,Mason has 10 forks. Mason has 11 fewer forks than Scarlett. Scarlett has 5 more forks than Michael. Charlotte has 3 fewer forks than Michael. Elijah has 9 more forks than Charlotte. How many forks does Elijah have in total?,Mason has 10 forks. Scarlett gave 11 forks to Mason. Mason gave Michael 5 forks. Mason gave Charlotte 3 forks. Elijah gave 9 forks to Mason. How many forks does Mason have now?,22
How many kilowatt-hours of emergency energy reserve does Lily have?,How many kilowatt-hours of emergency energy reserve does Liam have now?,Liam has 11 kilowatt-hours of emergency energy reserve. Liam has 4 kilowatt-hours of emergency energy reserve more than Emma. Nicholas has 17 kilowatt-hours of emergency energy reserve more than Emma. Jonathan has 5 kilowatt-hours of emergency energy reserve less than Nicholas. Jonathan has 10 kilowatt-hours of emergency energy reserve more than Michael. Michael has 7 kilowatt-hours of emergency energy reserve more than Lily.,Liam has 11 kilowatt-hours of emergency energy reserve. Liam gave Emma 4 kilowatt-hours of emergency energy reserve. Nicholas gave Liam 17 kilowatt-hours of emergency energy reserve. Liam gave Jonathan 5 kilowatt-hours of emergency energy reserve. Liam gave Michael 10 kilowatt-hours of emergency energy reserve. Liam gave Lily 7 kilowatt-hours of emergency energy reserve.,Liam has 11 kilowatt-hours of emergency energy reserve. Liam has 4 kilowatt-hours more emergency energy reserve than Emma. Nicholas has 17 kilowatt-hours more emergency energy reserve than Emma. Jonathan has 5 kilowatt-hours less emergency energy reserve than Nicholas. Jonathan has 10 kilowatt-hours more emergency energy reserve than Michael. Michael has 7 kilowatt-hours more emergency energy reserve than Lily. How many kilowatt-hours of emergency energy reserve does Lily have?,Liam has 11 kilowatt-hours of emergency energy reserve. Liam gave Emma 4 kilowatt-hours of emergency energy reserve. Nicholas gave Liam 17 kilowatt-hours of emergency energy reserve. Liam gave Jonathan 5 kilowatt-hours of emergency energy reserve. Liam gave Michael 10 kilowatt-hours of emergency energy reserve. Liam gave Lily 7 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Liam have now?,2
How many beds does Michael have in all?,How many beds does Henry have in all now?,Henry has 17 beds. Henry has 10 more beds than Matthew. Liam has 3 fewer beds than Matthew. Liam has 19 fewer beds than Michael.,Henry has 17 beds. Henry gave 10 beds to Matthew. Henry gave 3 beds to Liam. Michael gave 19 beds to Henry.,Henry has 17 beds. Henry has 10 more beds than Matthew. Liam has 3 fewer beds than Matthew. Liam has 19 fewer beds than Michael. How many beds does Michael have in total?,Henry has 17 beds. Henry gave 10 beds to Matthew. Henry gave 3 beds to Liam. Michael gave 19 beds to Henry. How many beds does Henry have now in total?,23
How many bookshelfs does Mia have?,How many bookshelfs does Ryan have in all now?,Ryan has 13 bookshelfs. David has 5 fewer bookshelfs than Ryan. David has 20 fewer bookshelfs than Sophia. Sophia has 19 more bookshelfs than Logan. Hannah has 15 more bookshelfs than Logan. Hannah has 15 more bookshelfs than Mia.,Ryan has 13 bookshelfs. Ryan gave 5 bookshelfs to David. Sophia gave 20 bookshelfs to Ryan. Ryan gave Logan 19 bookshelfs. Hannah gave Ryan 15 bookshelfs. Ryan gave Mia 15 bookshelfs.,Ryan has 13 bookshelves. David has 5 fewer bookshelves than Ryan. David has 20 fewer bookshelves than Sophia. Sophia has 19 more bookshelves than Logan. Hannah has 15 more bookshelves than Logan. Hannah has 15 more bookshelves than Mia. How many bookshelves does Mia have?,Ryan has 13 bookshelves. Ryan gave 5 bookshelves to David. Sophia gave 20 bookshelves to Ryan. Ryan gave Logan 19 bookshelves. Hannah gave Ryan 15 bookshelves. Ryan gave Mia 15 bookshelves. How many bookshelves does Ryan have in total now?,9
How many lamps does Emma have in total?,How many lamps does Amelia have totaled now?,Amelia has 8 lamps. Amelia has 16 fewer lamps than Emma.,Amelia has 8 lamps. Emma gave Amelia 16 lamps.,Amelia has 8 lamps. Amelia has 16 fewer lamps than Emma. How many lamps does Emma have in total?,Amelia has 8 lamps. Emma gave Amelia 16 lamps. How many lamps does Amelia have now in total?,24
What is the number of green bottles that Logan has?,What is the number of green bottles that Matthew has now?,Matthew has 11 green bottles. Matthew has 18 fewer green bottles than Ella. Ella has 18 fewer green bottles than Elizabeth. Elizabeth has 8 more green bottles than Samuel. Samuel has 15 fewer green bottles than Amelia. Amelia has 18 fewer green bottles than Logan.,Matthew has 11 green bottles. Ella gave Matthew 18 green bottles. Elizabeth gave Matthew 18 green bottles. Matthew gave Samuel 8 green bottles. Amelia gave Matthew 15 green bottles. Logan gave Matthew 18 green bottles.,Matthew has 11 green bottles. Matthew has 18 fewer green bottles than Ella. Ella has 18 fewer green bottles than Elizabeth. Elizabeth has 8 more green bottles than Samuel. Samuel has 15 fewer green bottles than Amelia. Amelia has 18 fewer green bottles than Logan. What is the number of green bottles that Logan has?,Matthew has 11 green bottles. Ella gave Matthew 18 green bottles. Elizabeth gave Matthew 18 green bottles. Matthew gave Samuel 8 green bottles. Amelia gave Matthew 15 green bottles. Logan gave Matthew 18 green bottles. What is the number of green bottles that Matthew has now?,72
How many kilowatt-hours of emergency energy reserve does Jonathan have?,How many kilowatt-hours of emergency energy reserve does Elijah have now?,Elijah has 17 kilowatt-hours of emergency energy reserve. Isabella has 10 kilowatt-hours of emergency energy reserve less than Elijah. Jonathan has 6 kilowatt-hours of emergency energy reserve less than Isabella.,Elijah has 17 kilowatt-hours of emergency energy reserve. Elijah gave Isabella 10 kilowatt-hours of emergency energy reserve. Elijah gave Jonathan 6 kilowatt-hours of emergency energy reserve.,Elijah has 17 kilowatt-hours of emergency energy reserve. Isabella has 10 kilowatt-hours less than Elijah. Jonathan has 6 kilowatt-hours less than Isabella. How many kilowatt-hours does Jonathan have?,Elijah has 17 kilowatt-hours of emergency energy reserve. Elijah gave Isabella 10 kilowatt-hours of emergency energy reserve. Elijah gave Jonathan 6 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Elijah have now?,1
How many desks does Mila have in all?,How many desks does Elijah have now?,Elijah has 17 desks. Elijah has 11 more desks than Mila.,Elijah has 17 desks. Elijah gave 11 desks to Mila.,Elijah has 17 desks. Elijah has 11 more desks than Mila. How many desks does Mila have in total?,Elijah has 17 desks. Elijah gave 11 desks to Mila. How many desks does Elijah have now?,6
How many kilowatt-hours of emergency energy reserve does Layla have?,How many kilowatt-hours of emergency energy reserve does Grace have now?,Grace has 18 kilowatt-hours of emergency energy reserve. Joshua has 4 kilowatt-hours of emergency energy reserve less than Grace. James has 2 kilowatt-hours of emergency energy reserve less than Joshua. James has 6 kilowatt-hours of emergency energy reserve more than Andrew. Andrew has 6 kilowatt-hours of emergency energy reserve more than David. David has 11 kilowatt-hours of emergency energy reserve less than Layla.,Grace has 18 kilowatt-hours of emergency energy reserve. Grace gave Joshua 4 kilowatt-hours of emergency energy reserve. Grace gave James 2 kilowatt-hours of emergency energy reserve. Grace gave Andrew 6 kilowatt-hours of emergency energy reserve. Grace gave David 6 kilowatt-hours of emergency energy reserve. Layla gave Grace 11 kilowatt-hours of emergency energy reserve.,Grace has 18 kilowatt-hours of emergency energy reserve. Joshua has 4 kilowatt-hours less of emergency energy reserve than Grace. James has 2 kilowatt-hours less of emergency energy reserve than Joshua. James has 6 kilowatt-hours more of emergency energy reserve than Andrew. Andrew has 6 kilowatt-hours more of emergency energy reserve than David. David has 11 kilowatt-hours less of emergency energy reserve than Layla. How many kilowatt-hours of emergency energy reserve does Layla have?,Grace has 18 kilowatt-hours of emergency energy reserve. Grace gave Joshua 4 kilowatt-hours of emergency energy reserve. Grace gave James 2 kilowatt-hours of emergency energy reserve. Grace gave Andrew 6 kilowatt-hours of emergency energy reserve. Grace gave David 6 kilowatt-hours of emergency energy reserve. Layla gave Grace 11 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Grace have now?,11
How many meters of rope does Scarlett have?,How many meters of rope does Christopher have now?,Christopher has 19 meters of rope. Christopher has 6 meters of rope less than Harper. Harper has 17 meters of rope more than Scarlett.,Christopher has 19 meters of rope. Harper gave Christopher 6 meters of rope. Christopher gave Scarlett 17 meters of rope.,Christopher has 19 meters of rope. Christopher has 6 meters less rope than Harper. Harper has 17 meters more rope than Scarlett. How many meters of rope does Scarlett have?,Christopher has 19 meters of rope. Harper gave Christopher 6 meters of rope. Christopher gave Scarlett 17 meters of rope. How many meters of rope does Christopher have now?,8
How many liters of milk does Emma have?,How many liters of milk does Isabella have now?,Isabella has 20 liters of milk. Abigail has 6 liters of milk less than Isabella. Abigail has 2 liters of milk more than Emma.,Isabella has 20 liters of milk. Isabella gave Abigail 6 liters of milk. Isabella gave Emma 2 liters of milk.,Isabella has 20 liters of milk. Abigail has 6 liters less milk than Isabella. Abigail has 2 liters more milk than Emma. How many liters of milk does Emma have?,Isabella has 20 liters of milk. Isabella gave Abigail 6 liters of milk. Isabella gave Emma 2 liters of milk. How many liters of milk does Isabella have now?,12
How many beds does Hannah have in total?,How many beds does Lucy have in total now?,Lucy has 11 beds. Lucy has 5 fewer beds than Elijah. Elijah has 3 fewer beds than Mia. Hannah has 14 more beds than Mia.,Lucy has 11 beds. Elijah gave 5 beds to Lucy. Mia gave 3 beds to Lucy. Hannah gave Lucy 14 beds.,Lucy has 11 beds. Lucy has 5 fewer beds than Elijah. Elijah has 3 fewer beds than Mia. Hannah has 14 more beds than Mia. How many beds does Hannah have in total?,Lucy has 11 beds. Elijah gave 5 beds to Lucy. Mia gave 3 beds to Lucy. Hannah gave Lucy 14 beds. How many beds does Lucy have in total now?,33
What is the number of red mugs that Emily has?,What is the number of red mugs that James has now?,James has 20 red mugs. Emily has 18 more red mugs than James.,James has 20 red mugs. Emily gave James 18 red mugs.,James has 20 red mugs. Emily has 18 more red mugs than James. What is the number of red mugs that Emily has?,James has 20 red mugs. Emily gave James 18 red mugs. What is the number of red mugs that James has now?,38
How many liters of milk does Isabella have?,How many liters of milk does Ava have now?,Ava has 7 liters of milk. Isabella has 17 liters of milk more than Ava.,Ava has 7 liters of milk. Isabella gave Ava 17 liters of milk.,Ava has 7 liters of milk. Isabella has 17 liters more milk than Ava. How many liters of milk does Isabella have?,Ava has 7 liters of milk. Isabella gave Ava 17 liters of milk. How many liters of milk does Ava have now?,24
How many wallets does Evelyn have in total?,How many wallets does Ryan have now?,Ryan has 16 wallets. Evelyn has 2 more wallets than Ryan.,Ryan has 16 wallets. Evelyn gave 2 wallets to Ryan.,Ryan has 16 wallets. Evelyn has 2 more wallets than Ryan. How many wallets does Evelyn have in total?,Ryan has 16 wallets. Evelyn gave 2 wallets to Ryan. How many wallets does Ryan have now?,18
How many meters of rope does Chloe have?,How many meters of rope does Layla have now?,Layla has 3 meters of rope. Layla has 14 meters of rope less than Ella. Chloe has 11 meters of rope more than Ella.,Layla has 3 meters of rope. Ella gave Layla 14 meters of rope. Chloe gave Layla 11 meters of rope.,Layla has 3 meters of rope. Layla has 14 meters less rope than Ella. Chloe has 11 meters more rope than Ella. How many meters of rope does Chloe have?,Layla has 3 meters of rope. Ella gave Layla 14 meters of rope. Chloe gave Layla 11 meters of rope. How many meters of rope does Layla have now?,28
How many headphones does Andrew have in total?,How many headphones does Michael have now?,Michael has 10 headphones. Michael has 6 fewer headphones than Lucy. Lucy has 16 fewer headphones than Grace. Andrew has 10 fewer headphones than Grace.,Michael has 10 headphones. Lucy gave Michael 6 headphones. Grace gave 16 headphones to Michael. Michael gave 10 headphones to Andrew.,Michael has 10 headphones. Michael has 6 fewer headphones than Lucy. Lucy has 16 fewer headphones than Grace. Andrew has 10 fewer headphones than Grace. How many headphones does Andrew have in total?,Michael has 10 headphones. Lucy gave Michael 6 headphones. Grace gave Michael 16 headphones. Michael gave 10 headphones to Andrew. How many headphones does Michael have now?,22
What is the number of green washing machines that Evelyn has?,What is the number of green washing machines that Charlotte has now?,Charlotte has 16 green washing machines. Charlotte has 4 more green washing machines than Emily. Emily has 10 fewer green washing machines than Harper. Harper has 4 more green washing machines than Logan. Logan has 12 more green washing machines than Evelyn.,Charlotte has 16 green washing machines. Charlotte gave Emily 4 green washing machines. Harper gave Charlotte 10 green washing machines. Charlotte gave Logan 4 green washing machines. Charlotte gave Evelyn 12 green washing machines.,Charlotte has 16 green washing machines. She has 4 more green washing machines than Emily. Emily has 10 fewer green washing machines than Harper. Harper has 4 more green washing machines than Logan. Logan has 12 more green washing machines than Evelyn. What is the number of green washing machines that Evelyn has?,"Charlotte has 16 green washing machines. She gave Emily 4 green washing machines. Harper gave Charlotte 10 green washing machines. Charlotte also gave Logan 4 green washing machines. Lastly, Charlotte gave Evelyn 12 green washing machines. What is the total number of green washing machines that Charlotte has now?",6
How many pots does Matthew have in their collection?,How many pots does Sofia have in total now?,Sofia has 19 pots. Matthew has 11 more pots than Sofia.,Sofia has 19 pots. Matthew gave Sofia 11 pots.,Sofia has 19 pots. Matthew has 11 pots more than Sofia. How many pots does Matthew have in their collection?,Sofia has 19 pots. Matthew gave Sofia 11 pots. How many pots does Sofia have in total now?,30
How many kilowatt-hours of emergency energy reserve does Matthew have?,How many kilowatt-hours of emergency energy reserve does Samuel have now?,Samuel has 17 kilowatt-hours of emergency energy reserve. Olivia has 20 kilowatt-hours of emergency energy reserve more than Samuel. Olivia has 2 kilowatt-hours of emergency energy reserve less than Matthew.,Samuel has 17 kilowatt-hours of emergency energy reserve. Olivia gave Samuel 20 kilowatt-hours of emergency energy reserve. Matthew gave Samuel 2 kilowatt-hours of emergency energy reserve.,Samuel has 17 kilowatt-hours of emergency energy reserve. Olivia has 20 kilowatt-hours more emergency energy reserve than Samuel. Olivia has 2 kilowatt-hours less emergency energy reserve than Matthew. How many kilowatt-hours of emergency energy reserve does Matthew have?,Samuel has 17 kilowatt-hours of emergency energy reserve. Olivia gave Samuel 20 kilowatt-hours of emergency energy reserve. Matthew gave Samuel 2 kilowatt-hours of emergency energy reserve. How many kilowatt-hours of emergency energy reserve does Samuel have now?,39
How many mugs does Amelia have in their collection?,How many mugs does Emily have in their collection now?,Emily has 6 mugs. Andrew has 3 fewer mugs than Emily. Andrew has 2 more mugs than Amelia.,Emily has 6 mugs. Emily gave 3 mugs to Andrew. Emily gave 2 mugs to Amelia.,Emily has 6 mugs. Andrew has 3 fewer mugs than Emily. Andrew has 2 more mugs than Amelia. How many mugs does Amelia have in her collection?,Emily has 6 mugs. Emily gave 3 mugs to Andrew. Emily gave 2 mugs to Amelia. How many mugs does Emily have in her collection now?,1
How many umbrellas does Evelyn have?,How many umbrellas does Ryan have totaled now?,Ryan has 18 umbrellas. Ryan has 2 more umbrellas than Christopher. Christopher has 2 fewer umbrellas than David. David has 11 more umbrellas than Matthew. Matthew has 5 more umbrellas than Evelyn.,Ryan has 18 umbrellas. Ryan gave 2 umbrellas to Christopher. David gave Ryan 2 umbrellas. Ryan gave 11 umbrellas to Matthew. Ryan gave 5 umbrellas to Evelyn.,Ryan has 18 umbrellas. Ryan has 2 more umbrellas than Christopher. Christopher has 2 fewer umbrellas than David. David has 11 more umbrellas than Matthew. Matthew has 5 more umbrellas than Evelyn. How many umbrellas does Evelyn have?,Ryan has 18 umbrellas. Ryan gave 2 umbrellas to Christopher. David gave Ryan 2 umbrellas. Ryan gave 11 umbrellas to Matthew. Ryan gave 5 umbrellas to Evelyn. How many umbrellas does Ryan have now in total?,2
How many mirrors does Lucy have in all?,How many mirrors does Joshua have in their collection now?,Joshua has 14 mirrors. Lucy has 14 fewer mirrors than Joshua.,Joshua has 14 mirrors. Joshua gave 14 mirrors to Lucy.,Joshua has 14 mirrors. Lucy has 14 fewer mirrors than Joshua. How many mirrors does Lucy have in total?,Joshua has 14 mirrors. Joshua gave 14 mirrors to Lucy. How many mirrors does Joshua have in his collection now?,0
How many meters of rope does Harper have?,How many meters of rope does Scarlett have now?,Scarlett has 4 meters of rope. Scarlett has 20 meters of rope less than Amelia. Chloe has 7 meters of rope less than Amelia. Chloe has 8 meters of rope more than Charlotte. Charlotte has 15 meters of rope less than Ava. Harper has 9 meters of rope more than Ava.,Scarlett has 4 meters of rope. Amelia gave Scarlett 20 meters of rope. Scarlett gave Chloe 7 meters of rope. Scarlett gave Charlotte 8 meters of rope. Ava gave Scarlett 15 meters of rope. Harper gave Scarlett 9 meters of rope.,Scarlett has 4 meters of rope. Scarlett has 20 meters of rope fewer than Amelia. Chloe has 7 meters of rope fewer than Amelia. Chloe has 8 meters of rope more than Charlotte. Charlotte has 15 meters of rope fewer than Ava. Harper has 9 meters of rope more than Ava. How many meters of rope does Harper have?,Scarlett has 4 meters of rope. Amelia gave Scarlett 20 meters of rope. Scarlett gave Chloe 7 meters of rope. Scarlett gave Charlotte 8 meters of rope. Ava gave Scarlett 15 meters of rope. Harper gave Scarlett 9 meters of rope. How many meters of rope does Scarlett have now?,33
What is the number of small umbrellas that Nathan has?,What is the number of small umbrellas that Mason has now?,Mason has 13 small umbrellas. Mason has 7 more small umbrellas than Layla. Layla has 12 fewer small umbrellas than Olivia. Victoria has 8 fewer small umbrellas than Olivia. Victoria has 2 fewer small umbrellas than Nathan.,Mason has 13 small umbrellas. Mason gave Layla 7 small umbrellas. Olivia gave Mason 12 small umbrellas. Mason gave Victoria 8 small umbrellas. Nathan gave Mason 2 small umbrellas.,Mason has 13 small umbrellas. Mason has 7 more small umbrellas than Layla. Layla has 12 fewer small umbrellas than Olivia. Victoria has 8 fewer small umbrellas than Olivia. Victoria has 2 fewer small umbrellas than Nathan. What is the number of small umbrellas that Nathan has?,Mason has 13 small umbrellas. Mason gave Layla 7 small umbrellas. Olivia gave Mason 12 small umbrellas. Mason gave Victoria 8 small umbrellas. Nathan gave Mason 2 small umbrellas. What is the number of small umbrellas that Mason has now?,12
What is the number of large mouses that David has?,What is the number of large mouses that Mason has now?,Mason has 2 large mouses. David has 5 more large mouses than Mason.,Mason has 2 large mouses. David gave Mason 5 large mouses.,Mason has 2 large mice. David has 5 more large mice than Mason. What is the number of large mice that David has?,Mason has 2 large mice. David gave Mason 5 large mice. What is the number of large mice that Mason has now?,7
What is the number of orange vases that Ava has?,What is the number of orange vases that Sofia has now?,Sofia has 16 orange vases. Harper has 14 more orange vases than Sofia. Harper has 8 fewer orange vases than Ava.,Sofia has 16 orange vases. Harper gave Sofia 14 orange vases. Ava gave Sofia 8 orange vases.,Sofia has 16 orange vases. Harper has 14 more orange vases than Sofia. Harper has 8 fewer orange vases than Ava. What is the number of orange vases that Ava has?,Sofia has 16 orange vases. Harper gave Sofia 14 more orange vases. Ava gave Sofia 8 additional orange vases. What is the total number of orange vases that Sofia has now?,38
